id,تاریخ,کد ملک,نوع ملک,نام مالک,تلفن ,آدرس,تعداد طبقات,تعداد واحد در طبقه,قیمت کل,قیمت واحد,آنالیز قیمت,طبقه,زیربنا,خواب,تلفن,آشپزخانه,سرویس,کفپوش,OPEN,پارکینگ,انباری,بالکن,تجهیزات و امکانات,سن بنا,وضعیت ملک,نما,وضعیت سند,موقعیت مکانی
10,1404/07/14,10530649,آپارتمان,مخفی,,پونك خ هفت لنگ,8,6,"26,500,000,000 تومان","152,290,000 تومان",13,2,174,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,کولر آسانسور گاز ,13,مسکونی,سنگ,شخصي,جنوبی
11,1404/07/14,10736263,آپارتمان,مخفی,,اشرفی اصفهانی خ زارع,5,4,"7,700,000,000 تومان","135,087,000 تومان",17,3,57,1,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,شوفاژ کولر آسانسور گاز ,17,تخلیه,سنگ,شخصي,شمالی
12,1404/07/12,10514204,آپارتمان,جعفر رنجبر,,قصرالدشت مابین امام خمینی و مالك اشتر كوچه دادگران پلاك 23 واحد 3,4,3,"4,428,000,000 تومان","82,000,000 تومان",,3,54,1,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,دارد,شوفاژ کولر آسانسور حیاط پکیج گاز ,14,مسکونی,آجر سه سانت,شخصي,شمالی
13,1404/07/13,10735823,آپارتمان,مخفی,,خواجه عبدالله خ ابوذر غفاری جنوبی,5,2,"15,500,000,000 تومان","155,000,000 تومان",7,1,100,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,کولر آسانسور پکیج گاز ,7,تخلیه,سنگ,شخصي,شمالی
14,1404/07/12,10335394,آپارتمان,مخفی,,نارمك میدان 82,4,2,"6,000,000,000 تومان","80,000,000 تومان",22,4,75,2,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,دارد,شوفاژ کولر پکیج گاز ,22,مسکونی,سنگ,شخصي,جنوبی
15,1404/07/13,10298814,آپارتمان,مخفی,,پیروزی خ طوفانی,4,2,"3,500,000,000 تومان","58,333,000 تومان",21,3,60,1,1,MDF,ايرانی,موکت,دارد,ندارد,دارد,دارد,,21,مسکونی,آجر سه سانت,شخصي,جنوبی
16,1404/07/10,10735575,آپارتمان,مخفی,,تهران نو مسیل جاجرود,5,1,"13,750,000,000 تومان","110,000,000 تومان",16,4,125,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,16,تخلیه,سنگ,شخصي,جنوبی
17,1404/07/12,10735706,آپارتمان,مخفی,,تهران نو خ مسیل منوچهری,5,2,"4,600,000,000 تومان","79,310,000 تومان",20,5,58,1,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,ندارد,کولر آسانسور گاز ,20,تخلیه,سنگ,شخصي,شمالی
18,1404/07/13,3082389,آپارتمان,مخفی,,هروی خ مفتوحی,5,3,"10,000,000,000 تومان","161,290,000 تومان",16,همكف,62,1,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,ندارد,شوفاژ کولر آسانسور گاز ,16,تخلیه,سنگ,شخصي,جنوبی
19,1404/07/12,10513361,آپارتمان,مخفی,,طرشت خ بایندریها,5,3,"11,000,000,000 تومان","122,222,000 تومان",15,4,90,2,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,15,مسکونی,سنگ,شخصي,جنوبی
20,1404/07/12,10132573,آپارتمان,مخفی,,دروازه شمیران خ كفایی امانی,4,1,"6,500,000,000 تومان","84,415,000 تومان",26,1,77,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر گاز ,26,مسکونی,آجر,شخصي,شمالی
21,1404/07/13,10352340,آپارتمان,مخفی,,میدان امام حسین بالاتراز خ منتظری,5,1,"14,300,000,000 تومان","110,000,000 تومان",,2,130,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,شوفاژ کولر آسانسور ,نوساز,مسکونی,سنگ,شخصي,شرقی
22,1404/07/10,10574829,آپارتمان,مخفی,,سراج بالاتراز ك محمودی,4,2,"4,400,000,000 تومان","81,481,000 تومان",20,2,54,1,1,MDF,ايرانی,پارکت,دارد,ندارد,دارد,ندارد,کولر گاز ,20,مسکونی,سنگ,شخصي,شمالی
23,1404/07/12,10486626,آپارتمان,مخفی,,نارمك خ رودباری,3,1,"7,300,000,000 تومان","104,285,000 تومان",15,2,70,2,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر پکیج گاز ,15,مسکونی,سنگ,شخصي,غربی
24,1404/07/12,10513594,آپارتمان,مخفی,,دروس قبا نرسیده به ك آذر,3,2,"28,000,000,000 تومان","200,000,000 تومان",490,1,139,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,,20,تخلیه,سنگ,,شمالی
25,1404/07/12,10495456,آپارتمان,مخفی,,نارمك میدان94,3,1,"9,850,000,000 تومان","92,924,000 تومان",23,3,106,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,کولر گاز ,23,تخلیه,سنگ,شخصي,شمالی
26,1404/07/12,10735671,آپارتمان,مخفی,,تهرانپارس بین گیو و كادوس,5,2,"10,700,000,000 تومان","122,988,000 تومان",13,4,87,2,1,MDF,فرنگی,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور پکیج گاز ,13,مسکونی,سنگ,شخصي,جنوبی
27,1404/07/12,2621653,آپارتمان,مخفی,,قنات كوثر خ مطهری,4,2,"6,500,000,000 تومان","86,666,000 تومان",19,4,75,2,1,MDF,ايرانی,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر گاز ,19,مسکونی,سنگ,شخصي,شمالی
28,1404/07/13,10735814,آپارتمان,مخفی,,سبلان شمالی خ لشگر,4,1,"3,550,000,000 تومان","69,607,000 تومان",15,3,51,1,1,MDF,ايرانی,سراميک,دارد,دارد,دارد,ندارد,شوفاژ کولر گاز ,15,تخلیه,سنگ,شخصي,شمالی
29,1404/07/14,10497182,آپارتمان,مخفی,,آیت الله كاشانی بلوار اباذر خ گلدشت,5,2,"13,600,000,000 تومان","137,370,000 تومان",20,1,99,1,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,ندارد,ندارد,شوفاژ کولر آسانسور پاسیو گاز ,20,مسکونی,سنگ,شخصي,شمالی
30,1404/07/13,10576217,آپارتمان,مخفی,,سهروردی شمالی ك شریف,3,1,"24,000,000,000 تومان","125,000,000 تومان",30,2,192,4,2,فلزي,ايراني فرنگي,موزائيک,ندارد,ندارد,دارد,ندارد,شوفاژ کولر گاز ,30,مسکونی,سنگ,شخصي,شمالی
31,1404/07/12,10516762,آپارتمان,مخفی,,سعادت آباد صرافها شمالی,3,3,"31,000,000,000 تومان","306,930,000 تومان",28,3,101,2,2,MDF,ايراني فرنگي,سراميک,دارد,ندارد,ندارد,دارد,کولر گاز ,28,مسکونی,سنگ,شخصي,شمالی
32,1404/07/12,10628497,آپارتمان,مخفی,,پونك خ گلزار,4,2,"12,000,000,000 تومان","150,000,000 تومان",20,همكف,80,1,1,MDF,ايرانی,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر گاز ,20,اجاره,سنگ,شخصي,جنوبی
33,1404/07/12,10352998,آپارتمان,مخفی,,فرجام غربی خ حیدرخانی,2,3,"13,000,000,000 تومان","141,304,000 تومان",30,1,92,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,شوفاژ کولر گاز ,30,مسکونی,سنگ,شخصي,شمالی
34,1404/07/10,10731809,آپارتمان,مخفی,,تهرانپارس بلوار پروین خ 216,4,2,"4,250,000,000 تومان","68,548,000 تومان",22,4,62,2,1,MDF,ايرانی,سراميک,دارد,دارد,دارد,ندارد,کولر پکیج ,22,تخلیه,سنگ,شخصي,جنوبی
35,1404/07/12,10553160,آپارتمان,مخفی,,شیخ بهایی خ ایرانشناسی,5,2,"26,800,000,000 تومان","200,000,000 تومان",3,3,134,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور پکیج گاز ,3,تخلیه,سنگ,شخصي,شمالی
36,1404/07/12,10735792,آپارتمان,مخفی,,آیت الله كاشانی خ بهنام خ فهیمی,4,1,"14,000,000,000 تومان","350,000,000 تومان",160,1,116,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,ندارد,ندارد,شوفاژ کولر گاز ,30,مسکونی,,,جنوبی
37,1404/07/12,10276348,آپارتمان,میری,,منیریه فرهنگ,3,1,"7,500,000,000 تومان","85,227,000 تومان",,2,88,2,1,MDF,ايراني فرنگي,سراميک,دارد,ندارد,ندارد,ندارد,کولر پکیج گاز ,30,مسکونی,آجر سه سانت,,جنوبی
38,1404/07/10,10735577,آپارتمان,مخفی,,پیروزی خ شاه آبادی خ درختی,4,1,"3,700,000,000 تومان","68,518,000 تومان",12,2,54,2,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,دارد,کولر گاز ,12,تخلیه,سنگ,شخصي,جنوبی
39,1404/07/12,10735737,آپارتمان,مخفی,,شریعتی خ موسیوند,10,8,"65,000,000,000 تومان","389,221,000 تومان",نوساز,4,167,3,1,MDF,ايراني فرنگي,سراميک,ندارد,دارد,دارد,دارد,آسانسور استخر حیاط مستخدم چیلر سونا جکوزی گاز ,نوساز,تخلیه,سنگ,شخصي,غربی
40,1404/07/13,10349443,آپارتمان,مخفی,,قیطریه تقاطع كاوه و اندرزگو,4,2,"31,000,000,000 تومان","200,000,000 تومان",12,4,155,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,کولر آسانسور پکیج ,12,مسکونی,سنگ,شخصي,جنوبی
41,1404/07/13,10735811,آپارتمان,مخفی,,شریعتی بالاتر از بیمارستان ایرانمهر,4,2,"12,000,000,000 تومان","126,315,000 تومان",30,4,95,2,1,MDF,ايرانی,سراميک,دارد,ندارد,ندارد,دارد,شوفاژ کولر گاز ,30,اجاره,سنگ,شخصي,شرقی
42,1404/07/12,10520596,آپارتمان,مخفی,,آیت الله كاشانی خ گلستان,5,1,"42,000,000,000 تومان","232,040,000 تومان",1,4,181,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,1,مسکونی,سنگ,شخصي,جنوبی
43,1404/07/12,10493061,آپارتمان,مخفی,,نارمك میدان 11,4,2,"6,500,000,000 تومان","118,181,000 تومان",20,2,55,1,1,MDF,ايرانی,سراميک,دارد,دارد,دارد,ندارد,شوفاژ کولر ,20,تخلیه,سنگ,شخصي,شرقی
44,1404/07/12,10572351,آپارتمان,مخفی,,جنت آباد شمالی كوروش شرقی,4,2,"5,100,000,000 تومان","108,510,000 تومان",24,4,47,1,1,هایگلاس,فرنگی,سراميک,دارد,ندارد,ندارد,ندارد,شوفاژ کولر گاز ,24,تخلیه,سنگ,شخصي,شمالی
45,1404/07/12,10730625,آپارتمان,مخفی,,حكیمیه بلوار فجر,6,2,"14,800,000,000 تومان","111,278,000 تومان",نوساز,3,133,3,1,دلخواه,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور پکیج ,نوساز,تخلیه,ترکیبی,دردست اقدام,شمالی
46,1404/07/13,10563631,آپارتمان,مخفی,,آیت الله كاشانی خ بوستان یكم,5,2,"23,400,000,000 تومان","150,000,000 تومان",15,1,156,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,15,مسکونی,سنگ,شخصي,شمالی
47,1404/07/14,10526187,آپارتمان,مخفی,,بلوارمرزداران خ ایثار,4,3,"22,800,000,000 تومان","400,000,000 تومان",30,2,91,1,1,فلزي,ايرانی,سراميک,دارد,دارد,دارد,ندارد,شوفاژ کولر گاز ,30,تخلیه,آجر,شخصي,جنوبی
48,1404/07/13,10563250,آپارتمان,مخفی,,كارگر شمالی خ هئیت,5,2,"21,275,000,000 تومان","185,000,000 تومان",نوساز,5,115,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور ,نوساز,تخلیه,سنگ,شخصي,جنوبی
49,1404/07/12,10587802,آپارتمان,مخفی,,انتهای همت غرب شهرك خرازی,29,8,"9,102,000,000 تومان","82,000,000 تومان",2,7,111,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور گاز ,2,مسکونی,سيمان,تعاوني,جنوبی
50,1404/07/13,3837079,آپارتمان,مخفی,,اوین دركه كوهپایه,2,1,"250,000,000,000 تومان","1,470,588,000 تومان",1000,1,170,3,1,MDF,ايرانی,سراميک,ندارد,دارد,دارد,دارد,کولر گاز ,30,تخلیه,سيمان,,شمالی
51,1404/07/12,10103948,آپارتمان,مخفی,,بنی هاشم نرسیده به ك ولی زاده,3,2,"5,500,000,000 تومان","84,615,000 تومان",20,3,65,1,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,ندارد,شوفاژ کولر گاز ,20,تخلیه,سنگ,شخصي,شرقی
52,1404/07/14,10200953,آپارتمان,مخفی,,فاطمی خ فكوری,3,1,"12,000,000,000 تومان","150,000,000 تومان",22,3,80,2,1,MDF,ايرانی,سنگ,دارد,ندارد,ندارد,ندارد,شوفاژ کولر گاز ,22,مسکونی,ترکیبی,شخصي,شمالی
53,1404/07/12,10735669,آپارتمان,مخفی,,طرشت خ حبیب زادگان,5,2,"12,000,000,000 تومان","104,340,000 تومان",5,4,115,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,شوفاژ کولر آسانسور پکیج گاز ,5,اجاره,سنگ,شخصي,جنوبی
54,1404/07/14,10518879,آپارتمان,مخفی,,نارمك میدان 82,4,1,"9,000,000,000 تومان","94,736,000 تومان",23,4,95,2,1,MDF,ايراني فرنگي,پارکت,دارد,دارد,دارد,ندارد,شوفاژ کولر گاز ,23,اجاره,سنگ,شخصي,شمالی
55,1404/07/13,10735816,آپارتمان,مخفی,,نیروی دریائی نرسیده به خ هفتم آذر,5,3,"5,350,000,000 تومان","84,920,000 تومان",,4,63,1,1,MDF,ايرانی,پارکت,دارد,ندارد,دارد,ندارد,شوفاژ کولر گاز ,19,مسکونی,سنگ,شخصي,شمالی
56,1404/07/12,10491112,آپارتمان,مخفی,,دلاوران خ تكاوران شمالی,5,2,"6,500,000,000 تومان","77,380,000 تومان",22,1,84,2,1,MDF,ايراني فرنگي,سراميک,دارد,ندارد,دارد,دارد,کولر آسانسور گاز ,22,تخلیه,سنگ,شخصي,جنوبی
57,1404/07/10,10416245,آپارتمان,مخفی,,فرجام خ حیدرخانی,3,2,"5,500,000,000 تومان","82,089,000 تومان",28,زیرهمكف,67,1,2,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,ندارد,کولر گاز ,28,مسکونی,سنگ,شخصي,جنوبی
58,1404/07/10,10735581,آپارتمان,مخفی,,پیروزی خ زینتی افخم,3,3,"3,600,000,000 تومان","62,060,000 تومان",23,3,58,1,1,MDF,فرنگی,سراميک,دارد,ندارد,دارد,ندارد,کولر گاز ,23,تخلیه,سنگ,شخصي,شمالی
59,1404/07/12,10735733,آپارتمان,صفری,,آزادی خیابان آذربایجان نرسیده به خوش كوچه امین الهی پلاك 6 واحد 2,4,1,"5,200,000,000 تومان","82,539,000 تومان",,2,63,2,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,دارد,کولر گاز ,20,مسکونی,سنگ,شخصي,غربی
60,1404/07/14,10736240,آپارتمان,مخفی,,مطهری خ سربداران,4,2,"10,920,000,000 تومان","105,000,000 تومان",,4,104,2,1,MDF,ايراني فرنگي,پارکت,دارد,دارد,ندارد,ندارد,شوفاژ کولر گاز ,30,تخلیه,سنگ,شخصي,جنوبی
61,1404/07/12,10525202,آپارتمان,مخفی,,مجیدیه جنوبی خ  استاد حسن بنا,4,1,"5,200,000,000 تومان","82,539,000 تومان",24,4,63,2,1,MDF,ايرانی,سراميک,دارد,ندارد,ندارد,ندارد,شوفاژ کولر گاز ,24,مسکونی,سنگ,شخصي,جنوبی
62,1404/07/13,10518804,آپارتمان,مخفی,,ستاری پیامبرمركزی,4,3,"12,000,000,000 تومان","122,440,000 تومان",20,2,98,2,1,MDF,ايرانی,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,20,مسکونی,سنگ,شخصي,جنوبی
63,1404/07/12,10528678,آپارتمان,مخفی,,زعفرانیه خ آصف,5,1,"57,900,000,000 تومان","300,000,000 تومان",18,همكف,193,3,1,MDF,ايراني فرنگي,سنگ سراميک,دارد,دارد,دارد,دارد,شوفاژ آسانسور ,18,مسکونی,سنگ,شخصي,جنوبی
64,1404/07/12,10493592,آپارتمان,مخفی,,شهرزیبا خ آلاله شرقی,5,1,"19,500,000,000 تومان","171,052,000 تومان",نوساز,1,114,2,1,MDF,ايراني فرنگي,پارکت,دارد,دارد,دارد,دارد,کولر آسانسور گاز ,نوساز,تخلیه,سنگ,شخصي,جنوبی
65,1404/07/14,10736167,آپارتمان,مخفی,,نیروی هوایی خ 30 متری,5,2,"5,400,000,000 تومان","100,000,000 تومان",20,5,54,1,1,MDF,فرنگی,موزائيک,دارد,دارد,دارد,ندارد,شوفاژ کولر آسانسور گاز ,20,تخلیه,سنگ,شخصي,شمالی
66,1404/07/13,10735808,آپارتمان,مخفی,,جمالزاده جنوبی نرسیده به آزادی,4,2,"9,100,000,000 تومان","100,000,000 تومان",12,1,91,2,1,MDF,ايراني فرنگي,پارکت,دارد,دارد,دارد,دارد,شوفاژ کولر گاز ,12,تخلیه,سنگ,شخصي,جنوبی
67,1404/07/12,10245047,آپارتمان,مخفی,,فرحزاد خ فرحزادی خ ابوطالب,2,1,"2,500,000,000 تومان","45,454,000 تومان",15,همكف,55,1,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,ندارد,کولر گاز ,15,مسکونی,سنگ,قولنامه اي,شمالی
68,1404/07/14,10427908,آپارتمان,مخفی,,شمس آباد خ كاووسی,5,2,"13,000,000,000 تومان","144,444,000 تومان",4,1,90,2,1,هایگلاس,ايراني فرنگي,سراميک,ندارد,دارد,دارد,دارد,کولر آسانسور گاز ,4,تخلیه,سنگ,شخصي,جنوبی
69,1404/07/13,10735834,آپارتمان,مخفی,,نارمك خ سامان شمالی,3,2,"10,500,000,000 تومان","114,130,000 تومان",30,3,92,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر گاز ,30,تخلیه,سنگ,شخصي,جنوبی
70,1404/07/10,10735573,آپارتمان,كرمی,,بزرگراه محلاتی خ تكیه اكبرآبادی جنوبی ك قدسی پلاك 3,4,1,"2,500,000,000 تومان","53,191,000 تومان",,2,47,1,1,MDF,ايرانی,سراميک,ندارد,دارد,دارد,ندارد,کولر گاز ,30,مسکونی,سنگ,شخصي,شمالی
71,1404/07/12,10500534,آپارتمان,مخفی,,جردن بن بست كیان,6,3,"22,500,000,000 تومان","150,000,000 تومان",18,6,150,3,1,چوبي,ايراني فرنگي,پارکت,ندارد,دارد,دارد,ندارد,شوفاژ کولر آسانسور پکیج گاز ,18,تخلیه,سنگ,شخصي,شمالی
72,1404/07/13,10735920,آپارتمان,مخفی,,ستاری خ پیامبر غربی,5,2,"9,200,000,000 تومان","112,195,000 تومان",19,5,82,2,1,MDF,ايراني فرنگي,پارکت,دارد,ندارد,دارد,ندارد,شوفاژ کولر آسانسور گاز ,19,اجاره,سنگ,شخصي,شمالی
73,1404/07/12,10490150,آپارتمان,مخفی,,گلبرگ شرقی خ دردشت,4,1,"4,750,000,000 تومان","79,166,000 تومان",22,زیرهمكف,60,1,1,فلزي,ايرانی,موکت,دارد,ندارد,دارد,ندارد,شوفاژ کولر گاز ,22,مسکونی,سنگ,شخصي,شمالی
74,1404/07/13,10568816,آپارتمان,مخفی,,اقدسیه خ گلزار,5,2,"39,760,000,000 تومان","280,000,000 تومان",,2,142,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,ندارد,کولر فن کوئر آسانسور گاز ,نوساز,تخلیه,سنگ,شخصي,شمالی
75,1404/07/12,10512503,آپارتمان,مخفی,,گلبرگ غربی خ كرمان جنوبی خ  مرادی,4,2,"3,000,000,000 تومان","81,081,000 تومان",8,4,37,1,1,هایگلاس,ايرانی,پارکت,دارد,ندارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,8,اجاره,سنگ,شخصي,شمالی
76,1404/07/10,10531163,آپارتمان,مخفی,,تهرانپارس بین باقری و اردیبهشت,5,2,"12,000,000,000 تومان","113,207,000 تومان",15,2,106,2,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,کولر آسانسور پکیج ,15,مسکونی,گرانيت,منگوله دار,جنوبی
77,1404/07/14,10092783,آپارتمان,مخفی,,آزادی ابتدای خ اسكندری,4,1,"5,600,000,000 تومان","76,712,000 تومان",,3,73,2,1,MDF,ايراني فرنگي,پارکت,دارد,دارد,دارد,دارد,کولر پکیج ,18,تخلیه,سنگ,شخصي,شمالی
78,1404/07/10,10530711,آپارتمان,مخفی,,پیروزی خ شكوفه خ درودیان,4,2,"3,750,000,000 تومان","64,655,000 تومان",20,1,58,1,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,ندارد,کولر گاز ,20,مسکونی,سنگ,شخصي,جنوبی
79,1404/07/12,10487960,آپارتمان,مخفی,,پیروزی میدان شكوفه خ دژكام,4,1,"4,800,000,000 تومان","68,571,000 تومان",20,2,70,1,1,MDF,ايرانی,سراميک,دارد,ندارد,ندارد,دارد,کولر گاز ,20,تخلیه,سنگ,شخصي,جنوبی
80,1404/07/14,10350226,آپارتمان,مخفی,,آیت الله كاشانی بوستان دوم,9,4,"25,900,000,000 تومان","185,000,000 تومان",10,1,140,3,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,ندارد,شوفاژ کولر آسانسور گاز ,10,مسکونی,سنگ,شخصي,جنوبی
81,1404/07/10,3444477,آپارتمان,مخفی,,گلبرگ غربی خ مدنی بالاتراز پارك فدك,4,1,"4,800,000,000 تومان","76,190,000 تومان",19,4,63,2,1,MDF,ايرانی,سراميک,دارد,ندارد,دارد,دارد,کولر گاز ,19,اجاره,سنگ,شخصي,جنوبی
82,1404/07/12,10735686,آپارتمان,مخفی,,تهرانپارس خ صاحب الزمان شمالی,5,2,"9,200,000,000 تومان","100,000,000 تومان",4,2,92,2,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,کولر آسانسور پکیج ,4,مسکونی,سنگ,شخصي,شمالی
83,1404/07/13,10736082,آپارتمان,مخفی,,مجیدیه جنوبی خ همایی,4,2,"5,900,000,000 تومان","105,357,000 تومان",9,3,56,1,1,MDF,فرنگی,سراميک,دارد,دارد,دارد,ندارد,کولر آسانسور ,9,تخلیه,سنگ,شخصي,شمالی
84,1404/07/13,10415575,آپارتمان,مخفی,,ولیعصر روبروی پارك ملت,5,1,"18,055,000,000 تومان","115,000,000 تومان",30,3,157,3,1,MDF,ايراني فرنگي,سراميک,دارد,ندارد,دارد,دارد,شوفاژ کولر ,30,تخلیه,سنگ,شخصي,شمالی
85,1404/07/12,10542678,آپارتمان,مخفی,,ظفر بلوارآرش,3,1,"35,000,000,000 تومان","175,000,000 تومان",30,3,200,3,1,MDF,ايراني فرنگي,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر گاز ,30,تخلیه,سنگ,شخصي,جنوبی
86,1404/07/13,10527174,آپارتمان,مخفی,,دارآباد بالاترازپارك,10,5,"14,375,000,000 تومان","125,000,000 تومان",3,1,115,2,1,MDF,ايراني فرنگي,سنگ,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور ,3,تخلیه,سنگ,شخصي,شرقی
87,1404/07/10,10735655,آپارتمان,مخفی,,بلوار فردوس غرب اقاقیا,5,6,"8,550,000,000 تومان","125,735,000 تومان",21,3,68,2,یك,MDF,ايرانی,سراميک,دارد,دارد,دارد,دارد,شوفاژ کولر آسانسور گاز ,21,تخلیه,سنگ,شخصي,جنوبی
